Referencia,Titular,NIF/CIF,Domicilio social,Localidad,Provincia,C. Postal,F. Concesion,F. Caducidad,Susceptible cesion,Susceptible mutualizacion,Obtenido por transferencia
ALAL-2000028,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,15/04/2020,31/12/2025,,,
ALAL-2000045,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,29/03/2020,31/12/2025,true,,
ALAL-2000071,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,11/05/2020,31/12/2025,true,,
ALAL-2000087,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,11/05/2020,31/12/2025,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-2000159,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,15/04/2020,31/12/2025,,,
ALAL-2000160,"RETEVISION I, S.A.UNIP.",A62275680,"CL JUAN ESPLANDIU, 11-13",MADRID,MADRID,28007,09/06/2020,31/12/2025,true,,
ALAL-2000207,"RETEVISION I, S.A.UNIP.",A62275680,"CL JUAN ESPLANDIU, 11-13",MADRID,MADRID,28007,12/06/2020,31/12/2025,true,,
ALAL-2000285,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,21/07/2020,31/12/2025,,,
ALAL-2000287,ACACIO SERVICIOS TELEMATICOS SOCIEDAD LIMITADA,B19509827,"AVDA EL FLORIO POLIGONO EL FLORIO, 64",GRANADA,GRANADA,18015,21/07/2020,31/12/2025,,,
ALAL-2000302,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1",POZUELO DE ALARCÓN,MADRID,28223,10/08/2020,31/12/2025,,,
ALAL-2000311,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,10/08/2020,31/12/2025,,,
ALAL-2000427,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,15/09/2020,31/12/2025,,,
ALAL-2000445,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,15/09/2020,31/12/2025,,,
ALAL-2000539,"RETEVISION I, S.A.U.",A62275680,"CALLE JUAN ESPLANDIÚ, 11.",MADRID,MADRID,28007,18/11/2020,31/12/2025,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-2000596,ORANGE ESPAGNE S.A.U,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,22/12/2020,31/12/2025,,,
ALAL-2100024,ORANGE ESPAGNE S.A.U,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,14/01/2021,31/12/2026,,,
ALAL-2100042,ORANGE ESPAGNE S.A.U,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,27/01/2021,31/12/2026,,,
ALAL-2100045,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,29/01/2021,31/12/2026,true,,
ALAL-2100063,ORANGE ESPAGNE S.A.U,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,03/02/2021,31/12/2026,,,
ALAL-2100168,"ORANGE ESPAGNE, S.A.U",A82009812,"CALLE PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,09/03/2021,31/12/2026,,,
ALAL-2100185,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,11/03/2021,31/12/2026,true,,
ALAL-2100276,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,16/04/2021,31/12/2026,,,
ALAL-2100277,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,16/04/2021,31/12/2026,,,
ALAL-2100278,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,16/04/2021,31/12/2026,,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-2100279,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,16/04/2021,31/12/2026,,,
ALAL-2100280,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,16/04/2021,31/12/2026,,,
ALAL-2100281,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,16/04/2021,31/12/2026,,,
ALAL-2100357,LIROSAN COMUNICACIONES S.L.,B04742409,"CALLE CAMINO DE LA GOLETA, 2.",ALMERIA,ALMERÍA,04007,27/04/2021,31/12/2026,true,,
ALAL-2100360,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,16/04/2021,31/12/2026,,,
ALAL-2100367,AIRE NETWORKS DEL MEDITERRANEO S.L.,B53704599,"CALLE SANTIAGO RAMON Y CAJAL, 11.",ELCHE,ALICANTE/ALACANT,03203,04/05/2021,31/12/2026,true,,
ALAL-2100422,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,27/04/2021,31/12/2026,,,
ALAL-2100484,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,14/05/2021,31/12/2026,true,,
ALAL-2100496,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,18/05/2021,31/12/2026,,,
ALAL-2100526,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,02/06/2021,31/12/2026,,,
...,11,12,13,14,15,16,17,18,19,20,...
ALAL-2100579,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,06/07/2021,31/12/2026,,,
ALAL-2100580,"ORANGE ESPAGNE, S.A.U.",A82009812,"PASEO PASEO DEL CLUB DEPORTIVO, 1.",MADRID,MADRID,28223,08/07/2021,31/12/2026,,,
ALAL-2100620,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,16/08/2021,31/12/2026,true,,
ALAL-2100650,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,21/09/2021,31/12/2026,true,,
ALAL-2100878,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,18/01/2022,31/12/2027,,,
ALAL-2200159,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,11/02/2022,31/12/2027,true,,
ALAL-2200336,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,31/03/2022,31/12/2027,true,,
ALAL-2200383,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,21/04/2022,31/12/2027,,,
ALAL-2200384,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,21/04/2022,31/12/2027,,,
ALAL-2200385,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,21/04/2022,31/12/2027,,,
...,11,12,13,14,15,16,17,18,19,20,...
ALAL-2200386,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,21/04/2022,31/12/2027,,,
ALAL-2200400,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,27/04/2022,31/12/2027,,,
ALAL-2200401,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,29/04/2022,31/12/2027,,,
ALAL-2200423,"XFERA MOVILES, S.A.U.",A82528548,"AVDA ALCOBENDAS, 38.",ALCOBENDAS,MADRID,28108,20/05/2022,31/12/2027,true,,
ALAL-2200484,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,03/06/2022,31/12/2027,,,
ALAL-2200485,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,03/06/2022,31/12/2027,,,
ALAL-2200486,"ORANGE ESPAGNE, S.A.U.",A82009812,"PS CLUB DEPORTIVO, 1",MADRID,MADRID,28223,03/06/2022,31/12/2027,,,
