;Referencia;Comunidad;Provincia;Municipio;Frequencias;Tipo;codigopostalid;lat;lon
2390395;ALAL-1500418;ANDALUCÍA;ALMERÍA;ALMERIA;23.422;GHz;240;-2712437310.0;42939811580.0
2405060;ALAL-1500521;ANDALUCÍA;ALMERÍA;ALMERIA;6490.0;MHz;240;-2712437310.0;42939811580.0
2419725;ALAL-1500521;ANDALUCÍA;ALMERÍA;ALMERIA;18875.0;MHz;240;-2712437310.0;42939811580.0
2434390;ALAL-1500521;ANDALUCÍA;ALMERÍA;ALMERIA;19040.0;MHz;240;-2712437310.0;42939811580.0
2449055;ALAL-1500521;ANDALUCÍA;ALMERÍA;EJIDO (EL);6830.0;MHz;240;-2712437310.0;42939811580.0
2463720;ALAL-1500521;ANDALUCÍA;ALMERÍA;TABERNAS;17865.0;MHz;240;-2712437310.0;42939811580.0
2478385;ALAL-1500521;ANDALUCÍA;ALMERÍA;TABERNAS;18030.0;MHz;240;-2712437310.0;42939811580.0
2493050;ALAL-1600067;ANDALUCÍA;ALMERÍA;ADRA;8236.92;MHz;240;-2712437310.0;42939811580.0
2507715;ALAL-1600067;ANDALUCÍA;ALMERÍA;EJIDO (EL);7925.6;MHz;240;-2712437310.0;42939811580.0
2522380;ALAL-1600927;ANDALUCÍA;ALMERÍA;ALMERIA;19683.5;MHz;240;-2712437310.0;42939811580.0
2537045;ALAL-1600927;ANDALUCÍA;ALMERÍA;TABERNAS;18673.5;MHz;240;-2712437310.0;42939811580.0
2551710;ALAL-1601117;ANDALUCÍA;ALMERÍA;ALMERIA;19095.0;MHz;240;-2712437310.0;42939811580.0
2566375;ALAL-1601117;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;18085.0;MHz;240;-2712437310.0;42939811580.0
2581040;ALAL-1601118;ANDALUCÍA;ALMERÍA;EJIDO (EL);13031.0;MHz;240;-2712437310.0;42939811580.0
2595705;ALAL-1601118;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;12765.0;MHz;240;-2712437310.0;42939811580.0
2610370;ALAL-1601119;ANDALUCÍA;ALMERÍA;DALIAS;7010.0;MHz;240;-2712437310.0;42939811580.0
2625035;ALAL-1601119;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;6670.0;MHz;240;-2712437310.0;42939811580.0
2639702;ALAL-1603640;ANDALUCÍA;ALMERÍA;MOJACAR;27968.5;MHz;1450;-3000073260.0;43054277760.0
2654367;ALAL-1603640;ANDALUCÍA;ALMERÍA;MOJACAR;28976.5;MHz;1450;-3000073260.0;43054277760.0
2669030;ALAL-1604955;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;12765.0;MHz;240;-2712437310.0;42939811580.0
2683695;ALAL-1604955;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;13031.0;MHz;240;-2712437310.0;42939811580.0
2698360;ALAL-1700160;ANDALUCÍA;ALMERÍA;PULPI;6830.0;MHz;240;-2712437310.0;42939811580.0
2713025;ALAL-1700160;ANDALUCÍA;ALMERÍA;VERA;6490.0;MHz;240;-2712437310.0;42939811580.0
2727690;ALAL-1700191;ANDALUCÍA;ALMERÍA;ALMERIA;14599.0;MHz;240;-2712437310.0;42939811580.0
2742355;ALAL-1700191;ANDALUCÍA;ALMERÍA;ALMERIA;15019.0;MHz;240;-2712437310.0;42939811580.0
2757020;ALAL-1700238;ANDALUCÍA;ALMERÍA;ALMERIA;10539.0;MHz;240;-2712437310.0;42939811580.0
2771693;ALAL-1700238;ANDALUCÍA;ALMERÍA;PECHINA;10630.0;MHz;1474;-3127917180.0;43120843580.0
2786358;ALAL-1700238;ANDALUCÍA;ALMERÍA;PECHINA;22078.0;MHz;1474;-3127917180.0;43120843580.0
2801015;ALAL-1700238;ANDALUCÍA;ALMERÍA;TURRILLAS;23086.0;MHz;240;-2712437310.0;42939811580.0
2815680;ALAL-1700355;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15019.0;MHz;240;-2712437310.0;42939811580.0
2830345;ALAL-1700355;ANDALUCÍA;ALMERÍA;VERA;14599.0;MHz;240;-2712437310.0;42939811580.0
2845010;ALAL-1700443;ANDALUCÍA;ALMERÍA;VELEZ-RUBIO;1662.5;MHz;240;-2712437310.0;42939811580.0
2859675;ALAL-1700463;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;18.525;GHz;240;-2712437310.0;42939811580.0
2874340;ALAL-1700463;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;19.535;GHz;240;-2712437310.0;42939811580.0
2889005;ALAL-1700505;ANDALUCÍA;ALMERÍA;EJIDO (EL);17810.0;MHz;240;-2712437310.0;42939811580.0
2903670;ALAL-1700505;ANDALUCÍA;ALMERÍA;EJIDO (EL);18820.0;MHz;240;-2712437310.0;42939811580.0
2918335;ALAL-1800003;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;14991.0;MHz;240;-2712437310.0;42939811580.0
2933000;ALAL-1800003;ANDALUCÍA;ALMERÍA;VERA;14571.0;MHz;240;-2712437310.0;42939811580.0
2947665;ALAL-1800004;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;18250.0;MHz;240;-2712437310.0;42939811580.0
2962330;ALAL-1800004;ANDALUCÍA;ALMERÍA;HUERCAL-OVERA;19260.0;MHz;240;-2712437310.0;42939811580.0
2976995;ALAL-1800014;ANDALUCÍA;ALMERÍA;CANTORIA;19617.5;MHz;240;-2712437310.0;42939811580.0
2991660;ALAL-1800014;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;18607.5;MHz;240;-2712437310.0;42939811580.0
