;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia_x;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion;Comunidad;Provincia_y;Municipio;Frequencias;Tipo;codigopostalid;lat;lon;brand_sort;score_sort;match_sort;ratio
108073;MAMA-1300025;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-08-03;2023-12-31;True;False;False;3802;317;11;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
108287;MAMA-1300074;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-05-04;2023-12-31;True;False;False;3893;324;11;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
108394;MAMA-1300190;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2023-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;75
108501;MAMA-1300284;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2023-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
108615;MAMA-1300366;AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.;A41999913;AVDA ANDALUCÍA, S/N.;SEVILLA;SEVILLA;41907;;2023-12-31;True;False;False;0;0;0;;;;;;;;;REDES DE TELECOMUNICACION GALEGAS RETEGAL SA;100;REDES DE TELECOMUNICACION GALEGAS RETEGAL, SA;62
108752;MAMA-1300559;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;;2024-12-31;True;False;False;0;0;0;;;;;;;;;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;100
108929;MAMA-1400114;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-07-04;2024-12-31;True;False;False;3833;319;11;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
109067;MAMA-1400328;FREE TECHNOLOGIES-EXCOM, S.L.;B82999798;VIA AVDA. DE VALDELAPARRA, 27, 1. 2º 4;ALCOBENDAS;MADRID;28108;;2024-12-31;True;False;False;0;0;0;;;;;;;;;FREE TECHNOLOGIES-EXCOM SL;94;FREE TECHNOLOGIES-EXCOM, S.L.;100
109143;MAMA-1400336;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2024-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
109257;MAMA-1400458;AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.;A41999913;AVDA ANDALUCÍA, S/N.;SEVILLA;SEVILLA;41907;;2024-12-31;True;False;False;0;0;0;;;;;;;;;REDES DE TELECOMUNICACION GALEGAS RETEGAL SA;100;REDES DE TELECOMUNICACION GALEGAS RETEGAL, SA;62
109357;MAMA-1400575;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2024-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
109464;MAMA-1500029;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2015-12-02;2025-12-31;True;False;False;3682;307;10;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
109570;MAMA-1500191;ORANGE ESPAGNE, SAU;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;;2025-12-31;False;False;False;0;0;0;;;;;;;;;ORANGE ESPAGNE SA;100;ORANGE ESPAGNE, SA;97
109677;MAMA-1500192;ORANGE ESPAGNE, SAU;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;;2025-12-31;False;False;False;0;0;0;;;;;;;;;ORANGE ESPAGNE SA;100;ORANGE ESPAGNE, SA;97
109784;MAMA-1500193;ORANGE ESPAGNE, SAU;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;;2025-12-31;False;False;False;0;0;0;;;;;;;;;ORANGE ESPAGNE SA;100;ORANGE ESPAGNE, SA;97
109891;MAMA-1500194;ORANGE ESPAGNE, SAU;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;;2025-12-31;False;False;False;0;0;0;;;;;;;;;ORANGE ESPAGNE SA;100;ORANGE ESPAGNE, SA;97
109999;MAMA-1500267;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2025-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
110105;MAMA-1500368;ORANGE ESPAGNE, SAU;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2015-03-06;2025-12-31;True;False;False;3953;329;11;;;;;;;;;ORANGE ESPAGNE SA;100;ORANGE ESPAGNE, SA;97
110220;MAMA-1500903;AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.;A41999913;AVDA ANDALUCÍA, S/N.;SEVILLA;SEVILLA;41907;2016-02-03;2026-12-31;True;False;False;3984;332;11;;;;;;;;;REDES DE TELECOMUNICACION GALEGAS RETEGAL SA;100;REDES DE TELECOMUNICACION GALEGAS RETEGAL, SA;62
110320;MAMA-1600113;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2026-12-31;True;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;75
110455;MAMA-1600264;FUENGIROLA NETWORKS, S.L.;B93319713;VIA CL. VISTAMAR, 8. 2º;MIJAS;MÁLAGA;29650;2016-03-05;2022-06-30;True;False;False;2308;192;6;;;;;;;;;LYNTIA NETWORKS S.A.U.;95;LYNTIA NETWORKS, S.A.;67
110614;MAMA-1600700;CONRED COMUNICACIONES SL;B93299709;PG CANTARRANAS, C/ THOMAS ALVA EDISON, 9;COIN;MÁLAGA;29100;;2026-12-31;True;False;False;0;0;0;;;;;;;;;CONRED COMUNICACIONES SL;85;LOWNET COMUNICACIONS SL;85
110721;MAMA-1601034;CONRED COMUNICACIONES SL;B93299709;PG CANTARRANAS, C/ THOMAS ALVA EDISON, 9;COIN;MÁLAGA;29100;2016-03-11;2026-12-31;True;False;False;3947;329;11;;;;;;;;;CONRED COMUNICACIONES SL;85;LOWNET COMUNICACIONS SL;85
110746;MAMA-1700239;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIU, 11.;MADRID;MADRID;28007;;2022-12-31;True;False;False;0;0;0;;;;;;;;;RETEVISION I S.A.;100;RETEVISION I, S.A.;94
110854;MAMA-1700267;ORANGE ESPAGNE SA;A82009812;PASEO CLUB DEPORTIVO;POZUELO DE ALARCÓN;MADRID;28223;;2022-12-31;False;False;False;0;0;0;;;;;;;;;ORANGE ESPAGNE SA;100;ORANGE ESPAGNE, SA;100
110960;MAMA-1700736;RETEVISION I, SAU;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2017-10-10;2022-12-31;True;False;False;1908;159;5;;;;;;;;;RETEVISION I S.A.;100;RETEVISION I, S.A.;88
111069;MAMA-1700810;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2022-12-31;False;False;False;0;0;0;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
111213;MAMA-1700897;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;;2023-12-31;True;False;False;0;0;0;;;;;;;;;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
111283;MAMA-1800008;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2018-08-02;2023-12-31;True;False;False;1977;165;5;;;;;;;;;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
