;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion
74;ALAL-1800310;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2018-10-17;2023-12-31;True;False;False;1901;158;5
75;ALAL-1900072;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º;MADRID;MADRID;28223;2019-06-03;2024-12-31;False;False;False;2038;170;6
77;ALAL-1900077;ORANGE ESPAGNE, SAU;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2019-06-03;2024-12-31;False;False;False;2038;170;6
78;ALAL-1900138;ORANGE ESPAGNE SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2019-04-22;2024-12-31;False;False;False;2080;173;6
79;ALAL-1900636;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2020-01-30;2025-12-31;False;False;False;2162;180;6
80;ALAL-2000003;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2020-03-29;2025-12-31;True;False;False;2103;175;6
81;ALAL-2000004;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2020-04-15;2025-12-31;False;False;False;2086;174;6
82;ALAL-2000020;ORANGE ESPAGNE, S.A.U.;A82009812;PS CLUB DEPORTIVO, 1;MADRID;MADRID;28223;2020-04-15;2025-12-31;False;False;False;2086;174;6
83;ALAL-2000028;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2020-04-15;2025-12-31;False;False;False;2086;174;6
84;ALAL-2000045;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2020-03-29;2025-12-31;True;False;False;2103;175;6
85;ALAL-2000071;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-11-05;2025-12-31;True;False;False;1882;157;5
86;ALAL-2000087;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-11-05;2025-12-31;True;False;False;1882;157;5
88;ALAL-2000159;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2020-04-15;2025-12-31;False;False;False;2086;174;6
89;ALAL-2000160;RETEVISION I, S.A.UNIP.;A62275680;CL JUAN ESPLANDIU, 11-13;MADRID;MADRID;28007;2020-09-06;2025-12-31;True;False;False;1942;162;5
90;ALAL-2000207;RETEVISION I, S.A.UNIP.;A62275680;CL JUAN ESPLANDIU, 11-13;MADRID;MADRID;28007;2020-12-06;2025-12-31;True;False;False;1851;154;5
91;ALAL-2000285;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2020-07-21;2025-12-31;False;False;False;1989;166;6
